title,rating,comments_count,comments_top5
小鞋子,9.2,288870,"['小演员表情无敌，故事朴素真挚，比赛一段过分煽情，结尾收得真漂亮。', '身体欠佳妈妈让孩子给疲惫的爸爸倒茶，富人爷爷给认真工作的爸爸丰厚报酬，富人弟弟和哥哥一起开心玩耍，爸爸赚了钱想给妈妈买电熨斗，哥哥想跑步比赛给妹妹赢得一双鞋，老师为经常迟到的哥哥求情继续上学，妹妹把心爱的鞋子让给另一可怜人家的女儿，这另一可怜的女儿把捡到的漂亮铅笔还给妹妹……', '没有一点刻意、展览、景观，老老实实地拍，可就是能抓人，令人反思——电影真的需要那些东西么？最后那个金鱼池的场景甚至带点禅意，又那么平凡朴实，让整个片子顿时通透明澈，怎么会这么好！', '当他知道他得了第一名却拿不到第三名的奖品时,他伤心的哭了.', '没钱不要养孩子']"
拯救大兵瑞恩,9.0,462551,"['如果没有办法想起他什么样子，就试着想想和他共渡的时光。', '战争电影No1，美利坚精神输出大片。', '厄本这个角色很有意思，懦弱，非常懦弱，还有一种可笑的浪漫和无知的善良。他才是你我他，对战争的残酷抱有一种可耻的畏惧，并对其有好心的幻想。可惜事实并非如此，战争就是你死我活，战争是考验勇气的时刻，而非善心。胆小的也许能活下来，但在战争中，你已经输了。而那些死了的勇士，他们才是胜利者', '为什么看中国战争片就感觉high得不行真想打一仗，看外国战争片就觉得战争真可怕和平多好啊。。。。再不在吃饭的时候看战争片了，太胸闷了。', '我心目中的永恒经典。不知道集结号借用了他多少情节。反正不少。']"
绿皮书,8.9,1095044,"['“如果我不够黑人，也不够白人，又或不够男人，那请你告诉我，托尼，那我到底算是什么人？！”——恭喜，你是最政治正确的人。', '肯德基年度推广大电影', '让人印象最深的片段是他们的车在南部的乡间小路上抛锚，和田里劳作的黑奴对视的那一幕，无声却发出巨响。', '肤色对调版《触不可及》，一场跨越美国的公路之旅，更是一场跨越种族与肤色、身份与阶层的人性之旅。\n所有下属都对唐毕恭毕敬，唯有托尼把他当普通人对待，给他吃炸鸡、对他说出真实想法。\n不把他当成黑人，才是真正不歧视他的表现。\n另一方面，唐又受到外人的歧视和侮辱，他始终忍气吞声，低声下气。\n听他演奏的观众可以在餐厅吃饭，而他作为表演者却不可以。\n正是托尼教会他反击，教会他为自己发声、捍卫自己的权利和尊严。\n在所谓“高级的、尊贵的”场所受到不平等待遇，反而在“低端的、卑微的”黑人酒吧获得尊重和支持，实在太讽刺。\n天才是不够的，唯有勇气才能改变人心。既然他都不考虑你的感受，你又何必照顾他的情绪呢？\n忍一时得寸进尺，退一步变本加厉。暴力不能让你赢得什么，但懦弱永远都是输家。\n正面对抗生活的恶意，才能战胜恶意。', '肤色、阶层、性格和性取向天差地远的两个男人，因为音乐而结缘，因为公路旅行而成为一生朋友。有时候才华并不够，还需要勇敢，推倒心中那面墙才能开门见山。电影就像一颗绿色小石子，投入黑白分明的美国社会，激起轻小而美丽的涟漪。虽然有刻意营造的温暖感，但我就是愿意买单~！']"
海豚湾,9.3,287020,"['看完确实很难受 但是其它被食用残杀的动物就因为比海豚低贱么...我也没办法真的素食主义..更别扭', '看关于环保，动保的纪录片的最大意义就是转化为自身的行动。现在这种片子很多，如果看到10部你还没素食我怀疑你是不是要人格分裂了。', '我觉得大部分看本片会有感的人，都不知道，中国的白暨豚已经灭绝8年了，也不会知道，长江里的江豚也仅剩1000左右了。与其感慨，咒骂日本人如何捕杀海豚，不如做些实际的事情，保护一下长江里的江豚吧，没几年，也将绝迹了。中国人做出来的事情，也不会比小日本好到哪儿去。', '海豚的微笑，是大自然最高明的伪装，这微笑让你误以为他们一直很快乐。', '数据和论证不足，削弱了说服力，更多是迎合普罗大众对正义、道德、同情心的情绪上的需求 （另外似乎在传达一个观点，海豚更高级，所以更值得活下去）']"
情书,8.9,655560,"['那些没有开口的告白，最终还是让你听见了。', '经不住似水流年，逃不过此间少年。彩云易散琉璃脆，水仙已乘鲤鱼去', '无论如何都会流下热泪的电影，五星又怎么够！', '翻过来的卡片，肖像，是初恋回忆的完美情书', '暗恋的极致']"
穿条纹睡衣的男孩,9.1,357632,"['这大概是对纳粹反犹最狠毒的嘲讽了吧，通过欺骗，杀害的不仅是“敌人”，还有自己的孩子。', '""突然镜头换到那扇黑色大门前，慢慢拉远。 \n如果你哭了。是为BRUNO对吗？ \n那么，shmul呢？""', '最后他成为了穿条纹睡衣的男孩。', '你还当这是一场游戏么？', '穿小短西裤衬衫背心的宝贝，眼睛像透明湖水能看穿一切的纯净。以为穿条纹睡衣的男孩会化作烟囱里的浓烟，可这么一个仓促的结局，大雨像硫酸一样砸向心脏。']"
海蒂和爷爷,9.2,281040,"['人至善，景至美，故事细腻，淳朴动人，人生本该如此，温情永存，何惧苦难？', '难怪看到片名有种莫名的熟悉感，看正片后才知道这与高畑勲导演、宫崎骏担任场面设定的动画片《阿尔卑斯山的少女》改编自同小说《海蒂》，简直惊喜到不行。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影，会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。', '成功之处在于每个角色都很立体，都有优点缺点，海蒂不守规矩却天真可爱，克劳拉自私骄纵却优雅美丽，皮特淘气却耿直，爷爷脾气古怪却默默付出，女管家严厉却谨慎。山里的人没有那么朴实无华，“宫殿”里的人也没那么惟利是图。', '小姑娘很有灵气，给人的感觉就好像天生属于大山，光着脚奔跑在花草山峦中，风般轻盈，鸟儿般欢乐。电影中的感情都很真挚，也很友善，没有绝对的坏人，而且大家到最后都得到了所希望的幸福，这种幸福让观众看着也幸福。', '凭着取景在瑞士宛如天堂的阿尔卑斯山就值得打十星！！！我十分赞同曾经看过的一个观点：每个人童年时期与大自然的亲密接触是十分必要的，与自然相处你才会有更高的审美，才会在内心深处更准确的悟出人是什么活着是为什么这样问题的答案。对社会的认识越深，才会越发觉得返璞归真才最珍贵。棒。']"
音乐之声,9.0,430158,"['很棒的电影，唱段经久不息，流传至今。', '真希望世界像它描述的那么美好', '难以被超越的音乐剧经典~~', '从小看到现在，大概有50遍了吧。', '温情四溢、沁人心脾的音乐电影，经典的一塌糊涂。']"
美国往事,9.2,303133,"['一年多以后，我将它从四星改为了五星，期间未曾多看一遍。', '姜文的阳光灿烂的日子，杨德昌的牯岭街少年杀人事件，韩国的朋友都是模仿这部', '他的一生，是关于几个出生入死的兄弟，和一个美轮美奂的姑娘', '两场强暴戏毕竟是吃不消，男性的传奇之路上似乎最少不得的就是美丽而无人格的女性牺牲品', '有一种片子，伴随你走过热血沸腾的青春期，在成年后来看却又是另一番感受。在巴西，它叫《上帝之城》，在日本，它叫《大佬》，在韩国，它叫《朋友》，在香港，它叫《古惑仔》，在台湾，它叫《牯岭街少年杀人事件》，在大陆，它叫《阳光灿烂的日子》，最早的在美国，叫《 Once Upon a Time in America》。']"
致命魔术,8.9,612568,"['莫名其妙。', '孪生蝙蝠侠大战克隆金刚狼', '他选择了和他妻子一样的死法。100次。', '一个与同胞兄弟轮流上台享受欢呼与掌声，一个自我牺牲自我毁灭让复制品延续艺术生命。人性泯灭在狂热之中。', '诺兰是一个伟大的魔术师，谜底都在变小鸟那个魔术里了。。']"
低俗小说,8.8,604336,"['非线性的叙事电影的代表作。结构巧妙而富有深意，精彩的对白。片中每个人的身上都有着美好的品质，却都无可救药的走向了黑暗与迷茫。各个段落不分首尾，互补结构，开头和结尾相连，暗示现实中类似影片中的情节总在发生，永不停歇。\n台词：为什么我们一定要不停地说废话来维持气氛？只有当你找到一个真正特别的人时，才能闭嘴享受片刻的沉默。', '太正点了，那妞。。。\n', '事实证明，编剧恒大于结构。玩弄技术者必将悲惨淹没于日新月异中，新潮变做作，做作变老土。演员都是熟人，OST很好听。Travolta有点PITT的味道，昆汀大叔妒嫉他，竟把他写死了。讨厌拳击手，暴菊黑屋子太搞了。。Maria deMedeiros甜美性感小魔女——不是LES太可惜！', '我爱特拉沃塔的舞。', '昆汀有三宝，恋足，逼叨，配乐屌。']"
七宗罪,8.8,707843,"['里面的布拉德皮特帅的掉渣……', '决定永远不暴食', '多年以后再看，还是功力和锐气并重的作品', '故事看多后的后遗症就是一般最后半小时就知道结局了。。。', '阴沉而绝望。基督教用撒旦的七个恶魔形象来代表七种罪恶：傲慢，嫉妒，暴怒，懒惰，贪婪，暴食，以及淫欲。一个变态的宗教杀手，平时连一只鸡也不杀，但他找到了依据来实施对人的毛骨悚然的谋杀。有什么能比一个人做魔鬼的行径更为恐怖的吗？台词：“这是个美好的世界，值得我们为之奋斗。我同意后半句']"
沉默的羔羊,8.8,605892,"['如果汉尼拜尔教授不整天嘴上念叨着吃人，和他共进晚餐一定是世界上最迷人的事情。★★★★★', '正是因为米国没有卤煮火烧和烩羊杂，就连爆肚、溜肥肠，酱爆肝尖，火爆腰花什么的都没有，所以作为美食家的汉尼拔很尴尬，常常为了一份食材而绞尽脑汁，大费周章，其实。北京欢迎你，大可满足你顿顿吃卤煮的愿望。', '棒就一字，看完后记住那句话“勇敢的克拉丽斯，如果有一天你的羔羊停止了尖叫，你会来告诉我吗？”', '面对阴险、深邃、睿智的眼神，面对善良、疑惑、稚嫩的眼神，我同时看到了一丝迷茫与矛盾，对人性理解上的茫然，对自己内心世界与离经叛道的行为的矛盾辩解，他们对自身性格的了解都是那么的缥缈，这也许就是两人吸引对方的共通点吧！ ', '手指触碰的镜头好美！']"
蝴蝶效应,8.8,672574,"['我们每个人，都会幻想能够改变过去使目前的状态更好些，或者希望过另一种生活成为另一个人，这部电影反映的就是这种想法以及假如我们真这样做的结果。埃文不停的改变过去的选择，希望能够找到一个完美的未来。可事与愿违，往往导致更加悲剧化的结尾。人类对自己的认识一度忘乎所以，以为自己就是上帝，而最终仍将认识到自然的种种限制，但正是这种限制，体现了生命的意义、抉择和努力的意义。当我们回首往事，自然会对以往的错误感到懊悔，然而也正是这些错误、这些道路，成就了我们的个性；正是这些痛苦使我们感受到生命中的刻骨铭心。', '从他第一次的人生来看，其实他并没有那么喜欢Kelly阿', '古希腊的圣贤说“世界上最幸福的事实没有出生。”第二幸福的事是出生后立刻死掉。“', '阿什顿·库彻演技平庸，技巧浮夸，呲牙咧嘴、毫无特色。为什么他还老接到好剧本。', '★★★★ (2004-12-17) 其实比起电影本身，还是更喜欢那段影评：“量子力学的平行多宇宙解释说，在交叉小径的花园里，总会有一条道路，让人们在生命中的每一个节点都得到幸福，在那条完全幸福的道路上，有且仅有一个你在行走。\n这是多么令人宽慰啊，在每一次铭心刻骨的选择里，总有一个你选对了路，在茫茫的恒河沙数的宇宙里，总有一个你，终生幸福。”']"
禁闭岛,8.8,675822,"['非阴谋结局 泰迪确实病了 最后泰迪是被治好了 但他不愿活在痛苦中 因而假装自己又犯病了而去做切除手术', '结局是开放式的，随便你怎么演绎都有理。所以大概不能断定说看到一半就猜到吧。', '所有人都陪你玩，你好牛逼', '他到底会像怪物一样活着，还是会像好人一样死去呢？', '好吧，其实这是部*绝*对*不*能*剧*透*的电影。恩！']"
春光乍泄,8.9,454677,"['张国荣转过身抽烟的样子看的我酥掉了=。=', ' 张国荣死后，有一个女荣迷，在网上发了一片贴子，说到自己看到梁朝伟的情形，有一次梁朝伟到内地来演出，等演出完毕后她守在他出门的必经之路，等看到他和一群人走来，她便大声的哭喊道：“黎耀辉，你还记不记得何宝荣？”梁朝伟听到她的喊叫，停下来，朝她这个方向看来，然后点了点头，急匆匆地走了', '何宝荣。黎耀辉。如果你对一个人有特别的感情，你会更喜欢叫他的全名。', '最记得厨房中那一支探戈。', '爱一个男的还是爱一个女的尤其的不重要，只是爱一个爱上了的人……这个世界就完了']"
心灵捕手,8.9,502516,"['比起心灵捕手更让我触动的是男人的友情。“我每天到你家接你，我们出去喝酒笑闹，那很棒。但我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。”', '我每天到你家接你，我们出去喝酒笑闹，那很棒是我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。 ', '天才电影什么都是大呐叽', '经历没有埋没我的才华，却抹杀了我应有的自信，我被吓坏了，成长出一腔的狂妄自大，我赖以这种方式保护自己，终于等到一句：这不是我的错。', '你年轻彪悍，我如果和你谈论战争，你大可以向我大抛莎士比亚，背诵“共赴战场，亲爱的朋友”，但你从未亲临战阵，未试过把挚友的头拥入怀里，看着他吸着最后一口气，凝望着你，向你求助。不要以为，我了解你。也许我可以通过“知识”来看你，但那不是你，除非你愿意谈谈你自己，否则我不知道你到底是谁']"
布达佩斯大饭店,8.8,637995,"['《布达佩斯大饭店》，配得上太多赞美的词汇，但是电影最后的十几分钟，我内心感到了一股深刻却难以名状的悲伤，想了好久，也想不明白是为什么。走出电影院，感觉就像做了一场梦一样，似乎历历在目，却又难以言说。', '这不仅仅是一部电影，它是游戏，是童话，还是一件艺术品，将作者化的美学风格、形式感和怀旧的主题完美融合！无论从故事、剧作、主题和美学，它的辨识度都只属于自己，对于韦斯·安德森的粉丝，这是杰作！', '非常好。像一杯温暖的热可可，做得如此甜蜜却又不轻佻，好多台词和段子都有所指涉，却又浑然天成，不像在掉书袋。片尾看到对茨威格的致敬，眼泪都掉下来了。自从好多年前看了Visconti的《豹》之后，这是第二部让我对“昨日的世界”充满向往的电影。', '四重讲述空间，层层递进，宛如俄罗斯套娃。依次揭开，掏出一个如万花筒斑斓的昨日世界: 单线故事情节串起性格迥异的众多出场人物。场景切换如同梦境接力。现实与虚幻交织，严肃与荒诞同存，甜美和苦涩共生。整体观感相当有趣又十分充实。最后必须咆哮一句，满屏的演技帝甜得简直人神共愤！', '四重时空与讲述方式以及画幅的迷人结构【越靠近现在越狭窄间接】，主体故事全景描绘了欧洲战前文化褪色的最后辉煌【礼数，名画，家族】，作为见证者的Zero【移民】对依然消失的“精神家园欧洲”的怀旧感，以及对老电影的表演方式和镜头运用的模仿致敬，加上费因斯的精妙表演与卡司，安德森迈入大师门槛']"
被嫌弃的松子的一生,8.9,542270,"['她不明白人生失败的根源就是全身心地投入舍弃自尊来博得并不值得拥有的所谓爱', '\u3000\u3000""小时候,谁都觉得自己的未来闪闪发光,不是吗 \u3000\u3000但是一旦长大,没有一件事会遂自己心愿"" \u3000\u3000 \u3000\u3000她总是想着办法，即便是些常人看起来怪异可笑的办法来面对不太公平的生活遭遇． \u3000\u3000 \u3000\u3000看得我真他妈压抑. \u3000\u3000我就是无比恐惧自己的生活会变成这个样子 \u3000\u3000导演和编剧把我对我生活的梦魇般的臆想变成了胶片', '是嘲讽吧——你以为人生要完了的时候它还在继续，你以为人生可以重新开始的时候，人生已完。 ', '她只是怕寂寞……', '用喜剧的手法来拍一部悲剧\r\n你会发现最后笑得前仰后合\r\n而眼里却挂满了泪水']"
阿凡达,8.7,960469,"[' James Cameron闭上眼，全是电影的明天。', '阿凡达同时也揭示了女人的悲惨命运，主角与他的空中坐骑即是说明这个问题：选择她，她挣扎，插入她，她被俘获，甘心被他骑一辈子，众叛亲离之时，只有她在身边，魅影出现以后，她消失无踪，他再也没有寻找与过问。', '我整个人都潘多拉了', '已经不是在看电影了，是在比谁Wow的次数多，眨眼次数少。', '钉子户 大战 城管 in 3D']"
摩登时代,9.3,201065,"['有些电影永远都有一个别名叫做——经典~~', '开头工厂那段真是创意十足，后面就弱了点了', '惭愧死了，这才是我第一次真正看卓别林的电影。在放映之前我还想，为什么人们要叫他“大师”？不就是一个演员么。结果几秒以后，字幕上映，导演，编剧，主演，甚至音乐配乐都是卓别林创作的。我完全被震撼，真的是大师啊……\r\n\r\n这是一部又辛酸又喜剧的片子，对当时的社会不论是在工业，政治，还是生活', '人的异化，极富前瞻性，即使放在今天看了依旧有着强烈的现实意义；卓别林是个极为矛盾的个体：一方面，他总是对社会那些最深入肌理的顽疾给予毫不留情的讽刺和抨击；另一方面，他也是个执拗的人性本善论者。', '靠，看了才知道，星爷有那么多东西是从这里学来的。']"
剪刀手爱德华,8.7,812404,"['除了JohnnyDepp 还能有谁能有那样的眼神？', '有时候卑劣的人性才是剪刀。', '爱德华的眼睛让人心疼', 'JohnnyDepp最经典的一部片.\r\n很美丽的童话.\r\n那个孤独而美丽的爱德华让我至少哭了两遍!', '孤独本是生命的常态']"
勇敢的心,8.9,447664,"['所有的人都会死，但并不是每一个人都活的有意义。', 'Freedom！自由从未来得这么震撼心灵过~~', '被曲解的历史，詹姆斯霍纳的巅峰配乐', '一句“freedom”煽的我眼泪哗哗的', '有时候男人的一句嘶吼也可以让人流泪']"
天使爱美丽,8.7,775531,"['艾米丽扶着那个盲老头走过马路和天桥和无数商店，飞快地告诉他自己看到了什么，然后又像天使一样离开。', '洋溢着法国人的性格风情', '左上唇，右脸颊，左眼，右后脖颈。', '浓重的法国情调，舒缓，镜头语言动听。女主角漂亮。唯一的不足就是……这样的爱情会不会太作了？爱情就是门口经过的大巴，现在不上，以后都不能再上了……', '其实我也经常做这样的事情，为什么拍成电影就有人赞好，现实当中被当成白痴']"
喜剧之王,8.7,677189,"['以前看的时候，电影里真正隐含的意思我都不懂，但当我慢慢长大，经历的东西越来越多的时候，再回顾这些，我能领悟到星爷电影里人生的真谛，同理也可以套用在《大话西游》。ps，每次看到那句“我养你啊！”都会毫无疑问的飙泪。★★★★☆', '我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】', '“哇你怎么穿成这样啊？你不是演主角吗？不管你是主角也好，跑龙套的也好你都要养我一辈子的啊！呐，试试，看合适不合适？哇红色的，唇膏印啊，你去鬼混啊！呐，这次我放你一条生路啊，再有下次，我不给你饭吃。走，走啊。看什么看？不服气呀？打我呀，笨蛋！ ”', '周星星电影中最喜欢的一部', '星星说“我养你啊”。张柏芝在回去的路上哭得浑身发抖。']"
致命ID,8.8,568431,"['吓得我都要人格分裂了！！！以后打死都不要再看恐怖烧脑片！！！！！', '医生的治疗方案是让不同人格互相残杀以产生幸存者，但残杀所诞生的幸存者就不可能是最优人格', '救命啊，金牛座遭遇大屠杀...', '本以为是娱乐片，却是一部精彩的悬疑片，和《记忆碎片》一样，不到结尾不见真相。前段或许有些老套，但进行到中段的解谜阶段就很紧张了，后面的真相揭开后，又将剧情推向一个让人瞠目结舌的高潮，难得的是在结尾，居然再次给了观众心灵一记刺痛。善与恶，原本就是一体的。 PS:1.以罪犯幻想之情节名义给剧本许多地方逻辑推理不足找到了借口2.Mhotel又有何寓意呢3.对影片营造的黑夜，阴冷，潮湿氛围很中意last.每个人或许都有多重人格，后怕。  H2  2008.7.12 03:38', '他的人格实在是个竞争市场。由此可见，寡头和垄断未尝不好。']"
加勒比海盗,8.8,638512,"['加勒比海盗这一系列我都特别喜欢，喜欢杰克幽默风趣，顽强，坚韧勇敢，像永远也打不死的小强，还有他的黑珍珠海盗船，太神奇了！', 'johnny太性感了！！！！！！！！', '讲个小故事吧，有个小女孩给JohnnyDepp写信，希望他带着他的部下去学校铲除校长，于是JohnnyDepp打电话给学校，让学校把学生带到礼堂，这时候JohnnyDepp带着演员么冲上舞台，全场欢呼。嗯，我爱如此感人的故事', '我看了六遍.好不好已经和商业无关了.', '男二号太帅了']"
断背山,8.8,539957,"['Ennis不爱男人，也不爱女人，他只爱Jack。“希斯·莱杰和吉伦哈尔让这个痛苦的感情故事在我们身体中蔓延，莱杰先生神奇且难以置信地从他自己的身上消失而完全融入了角色，这是一个在银幕上可以企及马龙·白兰度和西恩·潘的表演” 人人心中都有一座断背山，那是一个永远也无法抵达的梦-李安', '老公哭的稀里哗啦，我怀疑他有隐情，所以我都没看进去……', '【剧透】你有一个挚爱你的人，但我不敢说你也挚爱着他，因为你有太多的怯懦。我当然知道你爱他，你哭着对那两件衬衣发誓，让我也跟着掉泪。只不过我还是会想：或许你更爱你自己。他死了，再也不能爱你了，你后悔了吗？', '看来我没有弯的潜质，一上来我就把攻受猜反了', '如果一生不能和最爱的人渡过，那贫富喜怒又有什么区别，责任信仰又有什么意义。']"
哈利·波特与死亡圣器(下),8.8,539213,"['印象很深刻的一幕，恐怕今生難忘，是我旁邊坐的兩個朋克90后在斯耐普死的時候娃娃大哭。', '我就想问问，年轻的格林德沃和邓布利多在哪儿？！都是坑爹的噱头啊！！', '电影的质量不重要了。每一个打五星的人，都是在谢幕前向自己过去的十年致敬。十年，足够让它长成你的血肉呼吸。Like never before. Like never again.', '一整场电影下来大家都很安静，几乎没有人说话，都掉进了长达十年的回忆之中，百感交集，直到结束，但是所有人都知道，它将永远不会结束，也许每个人心中都在期待着某一天自己的会收到霍格沃茨的offer然后拿着行李冲向九又四分之三站台。对于我这种脑残粉来说，给一百颗星都不够。', '我们的童年结束了，希望下一代人的童年里还会有魔法师，还会有霍格沃茨。']"
杀人回忆,8.8,470584,"['这并非一个寻求真相的故事，而是关于真到底相如何被整没了……', '想到真凶可能会若无其事坐在电影院里面，与电影最后一个镜头里宋康昊含泪的双眼四目相对就觉得好惊悚', '一部很普通的电影。', '嗨凶手，你也在看这部片吗？送给你的，杀人回忆', '偏向于多人效仿作案，凶手不止一个。最后女学生是小白脸杀的可能性很大！言行逼供了三个人，只有小白脸最态度反抗、眼神一直有特写是充满恨意的，因为他并没有杀人还要被诬陷。出来后在酒馆喝酒，女学生从窗前走过也对他指点议论，让他觉得自己的名声已经彻底毁了洗不清了。所以最后警察媳妇和女学生同时出现他选了女学生。还有下手之前扶着树干的细嫩的手的特写。可能真的是出于报复——既然你们都觉得我是凶手那我就真杀个给你们看看。DNA对不上是因为之前那个真不是他杀的。还有开头第一个案件发生后男主抓了很多个“嫌疑犯”，这里有个细节，几乎每个人都是面目可憎凶神恶煞的。因为男主潜意识认为杀人犯就应该长成这样的气质和模样。然而结尾小女孩说凶手“就是个普通人啊”是个记不住长相过目就忘的路人。每个平平无奇的人背地里都可能是凶手。']"
狩猎,9.1,256624,"['其实小孩子最邪恶，因为他们完全不知道行动的后果。  ', '这电影要是早两年看，不会有这么深感触。很多情况下，真相是什么对围观者并不重要，他们需要的只是一个支点，让自己站在虚妄的道德制高点上，得意一时是一时，反正过几天他们就会遗忘，任由真相被新的猎奇淹没，微博上这样的人和事比比皆是。', '占据道德的制高点猎杀他者，你手上可有血污！？', '1.萝莉由爱生怨的报复手段又狠又蠢 2.孩子最可怕就在于明明无知，却会本能地以纯真作为武器，让他人深信不疑 3.人们习惯于自以为是，站在弱者角度分发所谓的正义和怜悯心，本身就是一种不公 4.信任和声誉一样，一旦破坏就无法修复 5.你永远活在他人的目光里，而世界本就有太多恶意~结局很现实，好片', '1、看的人想死的心都有了；2、……还得活着。']"
请以你的名字呼唤我,8.9,457819,"['elio坐在火炉前，一会儿落泪，一会儿抿着泪水笑了，一会儿眼睛里又恢复了冷漠，仿佛在短短几分钟内，他把那个夏天又度过了一次，且此生还要度过很多次。', '后劲太大，沉醉在电影的情感和视听氛围中无法自拔。雕像下的长镜头，午夜约会时的触碰，深夜教堂外和陌生人的尬舞。最终所有乌托邦似的美好都凝固在了80年代初那个夏天的意大利小镇，就像父亲说的那些炽热纯粹又隐秘的欲望和情感，以及用尽全力去探索、去爱、去失去、去心碎的那个自己，再也没有了。', '当年读小说的时候，就被最后老爹那段话感动，是那段话的态度，让整个故事变得不一样了。一个意大利少年和一个美国青年渡过了生命中的六周，他们之间不仅仅是同志感情，最后成了一种超越爱情和友谊的美好东西，告诉你要学会去感受生命中的一切，在年轻的时候拥抱所有感觉和情绪，就像一种修行和成长。', '相对于这样一场爱情，我更需要这样一栋房子。', ""细腻、唯美、慵懒，带着浮生若梦的气息。我们大多数要等到青年时才能将蒙昧的性觉醒付诸实践，而CMBYN呈现了同志电影绝无仅有的“少年时代”。这个叫Timothée Chalamet的男孩是世间最美的珍宝，他的一颦一笑、从脚趾到发梢都让人疯狂。请以你的名字呼唤我，因为在这一刻You're MINE""]"
幽灵公主,8.9,396622,"['宫骑骏就是个生态环保大师啊。', '宫崎骏的巅峰之作', '宫崎骏果然是最关注女性的导演之一。', '他的作品中的思想深度和人文思考区别于其他浅薄的娱乐性动画片。', '97年有这样的动漫实属不易，可是很不明白日本人的文化，没有绝对的恶，就算犯错也都可以一笑置之，取走鹿神的首级酿成大祸，且根本不肯归还，最后还可以笑着露脸，该说日本人宽容呢，还是什么？']"
阳光灿烂的日子,8.8,456443,"['“我的故事总是发生在夏天。炎热的气候使人们裸露得更多，也更能掩饰心中的欲望。那时侯，好像永远是夏天，太阳总是有空出来伴随着我，阳光充足，太亮，使得眼前一阵阵发黑”——电影《阳光灿烂的日子》开场对白', '大陆电影的巅峰之作。', '再也没有这样的时候了。被禁锢的青春里面溶着化不开的酸涩。年轻的时候爱一个姑娘，就可以奋不顾身的把所有逞能的事情都做完。长大了以后就不会了。不是不爱姑娘了，而是理智的弦告诫你自己再这样做是多么蠢的一件事情。', '理想是用来毁灭的。一句傻逼，喊出青春最有力度的挽歌。', '别人说这部片子很绝望，我看到的只是与我无关的，男生的青春期']"
小森林 夏秋篇,9.0,302613,"['把日本乡间简素的一餐一饭，拍得很有质感、美感、生活感。在天朝这个审美粗糙的国度，日式情调显得如此有“逼格”。但时人追捧日式美学所谓的“禅意”，恰恰最无禅意可言。刻意追求的形式感，努力再努力去趋向于“美”和“精致”的态度，其实都离禅很远。禅是一箪食、一瓢饮里全都是平常心，无谓美丑。', '吃货少女的自我修养，这种文艺腔调的东西看看就好，离农村的现实生活差距太大，真的要去农村干几天农活，我看没有几个能撑下来的。', '那些静得只能听见呼吸的日子里，你明白孤独即生活。', '昨天看这个看一半看不下去了，这么美的电影，我看着心里特别难过，为什么，中国电影票房都那样了，审美还那样，什么时候才能不吃粗粮，也认认真真做顿可心的家常菜呢。', '看着看着，突然觉得好难过....']"
重庆森林,8.7,576060,"['一个人哭了，你给纸巾他就行； \r\n\u3000\u3000但如果一间屋哭了，你就要做很多事情。 ', '那时她还被叫做王靖雯,小鹿様闪烁的眼神,细痩无邪的身体,疯狂的暗恋也不过是纯真执着的本能', '看旧电影最无法跨越的逻辑障碍：金城武怎么可能会被甩！梁朝伟怎么可能会被甩！这不是渎神吗！', '当时没有看得太懂的一个片子', '最喜欢王菲一边开着水龙头一边说因为下雨没有办法交电费.还有那个 加洲梦的音乐.']"
入殓师,8.8,451441,"['整矫情了..做殡葬业需要那么多感怀身世和心理建设吗...在我们中国，这是一个超级暴利而令人羡慕的行业', '对待死的敬意，犹如对待生的真诚。举重若轻。', '我觉得这个电影不是讲死亡 甚至什么追忆怀念云云 而是讲一个人在逆境中如何面对世俗的目光生活 从在意别人的眼光 到最后在工作中找到自己的价值 高度认同它 与世界沟通 还有宽恕他人 从而达到自我的新生 从这个角度来讲 这部电影是更像是一部励志片 而不是简单的感情片', 'The gift of the last memories.\r\n“人一辈子买的最后一样东西(棺材)是由他人决定的。”“死可能是一道门，逝去并不是终结，而是超越，走向下一程。”“入殓师就是让已经冰冷的人重新焕发生机，给她永恒的美丽，这要有冷静、准确、而且要怀着温柔的情感。”《入殓师》的中国遭遇：“它的国际首映在大连', '很温柔很温柔。。眼泪有很多种，这是非常有劲道，非常耐人寻味的一颗']"
